epoch,n_loss,i_loss
1,0.51215124,1.4259307
2,0.10936828,0.23290782
3,0.07783346,0.16877837
4,0.06959686,0.14435282
5,0.06474463,0.1349366
6,0.06075483,0.1285365
7,0.058270786,0.11891271
8,0.056297872,0.1136111
9,0.054554857,0.112794355
10,0.052746665,0.10551556
11,0.0520192,0.104092434
12,0.05077406,0.10093445
13,0.05004268,0.09911807
14,0.048857115,0.09792832
15,0.047917265,0.09502429
16,0.04721755,0.09372659
17,0.047018677,0.093341574
18,0.046319548,0.093421936
19,0.04582359,0.09117803
20,0.045297615,0.09070099
21,0.044963554,0.08930825
22,0.04364214,0.08726294
23,0.04341567,0.08528147
24,0.043305513,0.08584247
25,0.04274075,0.08315652
26,0.04201104,0.0822628
27,0.041957773,0.08211887
28,0.04152496,0.08101213
29,0.04136271,0.08053893
30,0.040986024,0.08030563
31,0.04109736,0.07976922
32,0.040740907,0.079978585
33,0.040292244,0.07912673
34,0.040558204,0.08050016
35,0.040147845,0.07719624
36,0.03984567,0.07805962
37,0.039749503,0.07706532
38,0.03897857,0.07540926
39,0.039099067,0.07691552
40,0.038953263,0.076107375
41,0.038820356,0.07411393
42,0.03835615,0.074565776
43,0.038083717,0.0735069
44,0.037859455,0.073225304
45,0.037475903,0.072058305
46,0.0377555,0.07293665
47,0.037691884,0.07268308
48,0.037361085,0.072151385
49,0.036887966,0.07079239
50,0.037048448,0.07125781
51,0.03621423,0.06996604
52,0.036622442,0.07146144
53,0.036170322,0.06995162
54,0.036303937,0.06962679
55,0.0357275,0.06939134
56,0.035755716,0.067729026
57,0.03604829,0.068385094
58,0.035577293,0.06805994
59,0.03527594,0.06661238
60,0.035287432,0.0674192
61,0.035279177,0.067480765
62,0.034933545,0.06566119
63,0.035088707,0.06570126
64,0.034610745,0.06592447
65,0.034980245,0.065298006
66,0.03429883,0.064795375
67,0.03431321,0.06433495
68,0.03410741,0.06394393
69,0.034375366,0.063937426
70,0.03426634,0.06481436
71,0.03367653,0.06360493
72,0.033301797,0.06322675
73,0.03352812,0.06285685
74,0.033763655,0.063300975
75,0.033609994,0.06154484
76,0.033682678,0.06310215
77,0.03327886,0.061859395
78,0.033251353,0.060868267
79,0.033088334,0.06215992
80,0.033016853,0.061225925
81,0.032840114,0.061548717
82,0.03319476,0.061879832
83,0.03282443,0.061096493
84,0.032372955,0.060321953
85,0.032315165,0.05971356
86,0.032227907,0.058825456
87,0.03261461,0.060227174
88,0.032217547,0.058717318
89,0.032221846,0.058664925
90,0.03178874,0.058409367
91,0.03212089,0.057983942
92,0.031770974,0.058732424
93,0.032046776,0.057384547
94,0.032130077,0.057401072
95,0.03166663,0.057836626
96,0.031613186,0.057633013
97,0.03127929,0.057682134
98,0.031537075,0.056554336
99,0.031147465,0.056454595
100,0.031105626,0.05758368
101,0.03126847,0.056223582
102,0.030880533,0.055991627
103,0.031227723,0.05636691
104,0.030892642,0.05659063
105,0.030787982,0.055565372
106,0.030449297,0.055954564
107,0.030535994,0.056150094
108,0.030706488,0.05560182
109,0.030353203,0.055026572
110,0.030792043,0.055338502
111,0.03021579,0.054948803
112,0.03017243,0.053768553
113,0.030554624,0.054643754
114,0.030471826,0.0538037
115,0.030058369,0.05444139
116,0.030152015,0.054547485
117,0.030024298,0.053835407
118,0.030208359,0.054327838
119,0.029709298,0.052988615
120,0.029685497,0.052827697
121,0.029747657,0.052837398
122,0.029642122,0.053416565
123,0.02966331,0.05423818
124,0.029921718,0.05306058
125,0.029658366,0.05274027
126,0.029531142,0.05353556
127,0.029290305,0.052389953
128,0.029435212,0.052535232
129,0.029258171,0.052539688
130,0.029373864,0.05274817
131,0.029534664,0.05295684
132,0.02919147,0.05202226
133,0.028981572,0.05161259
134,0.029327415,0.052339707
135,0.029391909,0.051415414
136,0.029130895,0.05127989
137,0.029060096,0.051626973
138,0.029208161,0.052329995
139,0.028911296,0.051556468
140,0.02916861,0.052090682
141,0.028781723,0.051510874
142,0.02869515,0.05240569
143,0.028886035,0.050948136
144,0.028828124,0.05100467
145,0.028961,0.051179837
146,0.028433304,0.050741162
147,0.028430503,0.050638244
148,0.028461467,0.05077574
149,0.02865718,0.050535142
150,0.028551329,0.050504785
151,0.028647054,0.050381344
152,0.028280986,0.05003099
153,0.028374093,0.05016124
154,0.028072828,0.049853507
155,0.028400432,0.04976229
156,0.028074577,0.049204096
157,0.028365044,0.04954404
158,0.028281046,0.04934849
159,0.027966704,0.049423948
160,0.028238004,0.049713984
161,0.028489115,0.049963187
162,0.028034957,0.04930401
163,0.028395355,0.0494627
164,0.028002532,0.04983425
165,0.027985113,0.048959915
166,0.028190484,0.04890941
167,0.02800378,0.049562383
168,0.028030194,0.04925628
169,0.027908396,0.048962392
170,0.027854156,0.04878013
171,0.027772747,0.04861829
172,0.027798004,0.049226657
173,0.027821522,0.04945489
174,0.027778815,0.04880072
175,0.027893005,0.049605444
176,0.02753732,0.04829506
177,0.027949583,0.04874917
178,0.027866013,0.047759615
179,0.027703967,0.048750866
180,0.027558068,0.0481957
181,0.02755917,0.04876843
182,0.027518421,0.04791804
183,0.027585793,0.048212778
184,0.02726255,0.04826406
185,0.027502213,0.048100553
186,0.027446922,0.047952235
187,0.027274838,0.047536083
188,0.027331542,0.04706417
189,0.027368944,0.047895595
190,0.027074123,0.04780535
191,0.026907925,0.047284503
192,0.027015762,0.047342055
193,0.027452527,0.047732644
194,0.027538488,0.047016952
195,0.027046483,0.047026128
196,0.027345153,0.04667983
197,0.027179414,0.04798128
198,0.02695353,0.04729434
199,0.026996052,0.046401825
200,0.02699185,0.04712548
201,0.026522493,0.0470877
202,0.026742965,0.04663226
203,0.027120143,0.04697524
204,0.02680938,0.046655696
205,0.02697849,0.046845615
206,0.027056204,0.046233505
207,0.026709013,0.04646145
208,0.02669738,0.046672642
209,0.027026748,0.046641614
210,0.026722498,0.046367977
211,0.026692456,0.04645745
212,0.026642477,0.045945626
213,0.026588844,0.046388153
214,0.026917914,0.046295807
215,0.026696308,0.046395354
216,0.026512723,0.04667864
217,0.026513612,0.04724648
218,0.02659219,0.04652261
219,0.026391461,0.046268072
220,0.02689884,0.045789912
221,0.026580917,0.046384636
222,0.026574777,0.04600109
223,0.026573302,0.0458706
224,0.026596805,0.0455636
225,0.026226375,0.045816813
226,0.026501955,0.045622833
227,0.026310645,0.046028785
228,0.02624358,0.046269562
229,0.026584504,0.045483727
230,0.026218345,0.045803808
231,0.026349083,0.045846708
232,0.02643374,0.045683663
233,0.026256943,0.045532525
234,0.026237942,0.045000046
235,0.026040599,0.0448604
236,0.026381835,0.04580121
237,0.026071206,0.045483734
238,0.026075954,0.045134883
239,0.026152708,0.04452049
240,0.02596264,0.04586995
241,0.026163058,0.045120187
242,0.026135098,0.04509069
243,0.02604753,0.044843506
244,0.02594242,0.04507706
245,0.02603644,0.04526931
246,0.026111815,0.044260964
247,0.02612704,0.044819646
248,0.025944538,0.045021396
249,0.02611655,0.04443826
250,0.025743848,0.04493627
251,0.026031993,0.044322636
252,0.025873367,0.044577092
253,0.025904372,0.044961303
254,0.02578018,0.044878773
255,0.025745617,0.04519158
256,0.025918227,0.044640567
257,0.02558082,0.044280127
258,0.025670946,0.04495652
259,0.025665557,0.04432865
260,0.025599942,0.044179644
261,0.02559948,0.044996142
262,0.025688855,0.04438145
263,0.025423218,0.044845533
264,0.025599794,0.044243168
265,0.025388578,0.04433855
266,0.025660163,0.04447415
267,0.025488405,0.043984547
268,0.025488017,0.044606846
269,0.025854522,0.043795858
270,0.025628865,0.043917116
271,0.025413956,0.044611372
272,0.025454339,0.043560665
273,0.02547092,0.04415014
274,0.02533361,0.043915547
275,0.025630053,0.044093445
276,0.025283586,0.043950383
277,0.025342997,0.04358749
278,0.025274482,0.043581694
279,0.025165629,0.043490257
280,0.025232699,0.04419243
281,0.025297942,0.043285653
282,0.02536311,0.0437433
283,0.025324028,0.04318629
284,0.02515996,0.043649025
285,0.025183434,0.043986533
286,0.025314065,0.04331045
287,0.025187986,0.043500613
288,0.02501635,0.04377964
289,0.025234383,0.04313589
290,0.025097448,0.043143805
291,0.02511437,0.04343929
292,0.025193036,0.043395888
293,0.025028326,0.043681644
294,0.024869643,0.04393901
295,0.0251901,0.043470733
296,0.024996594,0.043391753
297,0.024818148,0.04385511
298,0.025122482,0.043443542
299,0.024972085,0.043673094
300,0.025040423,0.0432828
301,0.024757382,0.04298951
302,0.024812168,0.042752203
303,0.024926247,0.043202512
304,0.024904089,0.04333743
305,0.024822718,0.04315825
306,0.024820553,0.042962402
307,0.024828611,0.04364364
308,0.024765687,0.043106172
309,0.024661086,0.04312076
310,0.02467408,0.043511916
311,0.024806261,0.043186165
312,0.024526702,0.04315071
313,0.024738992,0.043178562
314,0.02464276,0.04252295
315,0.024836244,0.043102194
316,0.024561474,0.042929627
317,0.024593618,0.04297338
318,0.024487518,0.042993356
319,0.024696145,0.042738803
320,0.024489805,0.042699303
321,0.02442676,0.042729612
322,0.02444506,0.042495493
323,0.024649981,0.042796265
324,0.024657069,0.04276837
325,0.024392907,0.0424169
326,0.024426088,0.042531684
327,0.024449382,0.042442407
328,0.024325857,0.0423835
329,0.024321249,0.042992733
330,0.02437882,0.041826706
331,0.024168868,0.042821452
332,0.024367617,0.042605344
333,0.024373613,0.042292327
334,0.024106393,0.042410873
335,0.024157055,0.04234173
336,0.02415643,0.04224958
337,0.024320971,0.041927293
338,0.024217665,0.042176034
339,0.024215486,0.042031094
340,0.024196997,0.042225268
341,0.024319101,0.042566027
342,0.024125397,0.042078715
343,0.024101065,0.04190449
344,0.024090359,0.042513467
345,0.024242422,0.04257314
346,0.0240337,0.04209283
347,0.02414151,0.042148367
348,0.02408245,0.042179227
349,0.02394526,0.04194178
350,0.023885868,0.04240804
351,0.024022765,0.04179903
352,0.023801811,0.042169042
353,0.023773694,0.04184271
354,0.024034308,0.04139566
355,0.023806281,0.041884862
356,0.023667749,0.04186559
357,0.023864595,0.041880094
358,0.023715226,0.04195816
359,0.02367996,0.041401815
360,0.023775773,0.042004246
361,0.02385784,0.041628715
362,0.023660934,0.041221194
363,0.023840342,0.042093433
364,0.023633031,0.041154478
365,0.023668928,0.0412971
366,0.023666792,0.041061718
367,0.023527646,0.04169142
368,0.023719044,0.04176187
369,0.02356586,0.041755874
370,0.023727115,0.041255053
371,0.023473965,0.041467007
372,0.023447668,0.041161664
373,0.023654083,0.041326474
374,0.023549244,0.04133428
375,0.023476668,0.041243043
376,0.023371318,0.04147941
377,0.023312896,0.041760348
378,0.023372918,0.04150025
379,0.023368785,0.041394655
380,0.023369752,0.04088921
381,0.023480639,0.041051015
382,0.023452131,0.04135867
383,0.023232779,0.041310158
384,0.02322365,0.041045282
385,0.023368096,0.040789504
386,0.023297006,0.040800735
387,0.023246016,0.04179229
388,0.02309462,0.04123764
389,0.023093339,0.04090107
390,0.023182375,0.04095063
391,0.023197252,0.04067813
392,0.023306144,0.041118372
393,0.023177821,0.04114393
394,0.023128325,0.040861707
395,0.023402907,0.041039407
396,0.023029845,0.040794425
397,0.023102928,0.04081333
398,0.02297508,0.04098515
399,0.02315162,0.04045978
400,0.022976387,0.040735554
401,0.023177113,0.040514067
402,0.02290303,0.040622357
403,0.022853285,0.040746637
404,0.023109974,0.039993074
