epoch,n_loss,i_loss,mean_values
160,0.10475506,0.2135694,0.14707707
161,0.104714416,0.21435936,0.14401112
162,0.10467884,0.21447116,0.13299176
163,0.10459259,0.21344581,0.13522646
164,0.10459149,0.21258716,0.1977524
165,0.10451862,0.21281856,0.07915239
166,0.10450691,0.21504094,0.07190226
167,0.104471736,0.21311225,0.083659
168,0.104466744,0.21502003,0.20190254
169,0.10445494,0.21666671,0.16478874
170,0.10443331,0.21459042,0.16877683
171,0.10442442,0.21261714,0.16271368
172,0.10440401,0.21420036,0.001384534
173,0.10423307,0.21590497,0.05803637
174,0.10421135,0.21399605,0.1716407
175,0.104195274,0.21333015,0.18810116
176,0.10415038,0.21338555,0.19776961
177,0.10413166,0.21593773,0.2028954
178,0.1040996,0.21583371,0.12811457
179,0.103972554,0.21549943,0.16261625
180,0.10395704,0.21352074,0.12374141
181,0.1037768,0.21291302,0.17006467
182,0.10375607,0.21705148,0.18905208
183,0.103700586,0.21180348,0.2596435
184,0.10367178,0.21106689,0.053497218
185,0.10366224,0.21652783,0.15417914
186,0.103648126,0.21655369,0.16192317
187,0.10364179,0.21261425,0.036821283
188,0.10364064,0.21232674,0.15526104
189,0.10362766,0.2124557,0.14392182
190,0.103568666,0.21463624,0.08050104
191,0.103546694,0.21452568,0.14364961
192,0.103539445,0.21412514,0.18952955
193,0.10353262,0.21251942,0.15664643
194,0.10347173,0.21470508,0.19664827
195,0.10341669,0.21366696,0.13850549
196,0.103281304,0.21446632,0.20304003
197,0.10316826,0.21485631,0.19000016
198,0.10311926,0.21322834,0.13545193
199,0.10308564,0.21008354,0.14024727
200,0.10305357,0.21317022,0.21292615
201,0.10304859,0.21448426,0.16427875
202,0.10292507,0.21438156,0.18442607
203,0.102921315,0.21448277,0.13493668
204,0.10291575,0.21565059,0.1412265
205,0.10290083,0.2149215,0.025086168
206,0.102842085,0.21516974,0.14938685
207,0.10284001,0.2108315,0.15843968
208,0.102818094,0.21000491,0.16717368
209,0.10281605,0.21242955,0.11240391
210,0.1027754,0.21613671,0.22841194
211,0.10276357,0.21159394,0.13574423
212,0.10273169,0.211954,0.18506163
213,0.10267901,0.21237293,0.15036973
214,0.10257702,0.21011017,0.13741885
215,0.10257566,0.21283604,0.21306133
216,0.10257348,0.21149892,0.095934145
217,0.10255587,0.21291526,0.1910114
218,0.10252041,0.21151523,0.109758615
219,0.10249203,0.21286157,0.27595106
220,0.10246327,0.21215346,0.0891934
221,0.10245168,0.21384946,0.08162981
222,0.10244248,0.21274768,0.13179
223,0.10242907,0.21137238,0.15746443
224,0.10239881,0.21667881,0.13419992
225,0.102394536,0.21284507,0.06410669
226,0.10239035,0.21474151,0.18620458
227,0.102381356,0.2099735,0.13623473
228,0.10237845,0.21502197,0.16077153
229,0.102329694,0.21406639,0.18378717
230,0.10227573,0.2102545,0.10410849
231,0.10224334,0.21481252,0.24968715
232,0.102231726,0.2122763,0.13322605
233,0.10223039,0.20893055,0.106377795
234,0.102210745,0.21183322,0.06878881
235,0.102210425,0.21172717,0.18267685
236,0.102191046,0.20930938,0.20443387
237,0.10215449,0.2132697,0.07856268
238,0.10212986,0.21377568,0.034418732
239,0.10206807,0.21256389,0.13387808
240,0.10204688,0.21295638,0.107849695
241,0.10194224,0.21329562,0.16909632
242,0.101827264,0.211398,0.14860052
243,0.10175146,0.21022452,0.18339136
244,0.10169896,0.21278968,0.19221267
245,0.10168998,0.21062897,0.024505243
246,0.10162216,0.2134798,0.18209963
247,0.101562075,0.21080376,0.08440374
248,0.10154571,0.21110176,0.13136119
249,0.10152272,0.21249302,0.17851381
250,0.101521984,0.21190408,0.13311052
251,0.10127331,0.21459344,0.12894277
252,0.101209134,0.21140859,0.069695465
253,0.10118648,0.21115735,0.14875881
254,0.10109121,0.21357003,0.090300895
255,0.10107144,0.21143079,0.10064868
256,0.100975074,0.21423401,0.17046472
257,0.10089502,0.212056,0.12631372
258,0.100808725,0.21299702,0.10267402
259,0.10029019,0.21284086,1.9559094
260,0.099681846,0.20377968,0.09555073
261,0.09686424,0.19896387,0.11987241
262,0.096653565,0.19170802,0.95480806
263,0.09468275,0.18963248,0.4175015
264,0.0932749,0.18375344,0.18148066
265,0.09301707,0.186446884,0.1326444
266,0.09197775,0.18158427,0.13811369
267,0.09189097,0.18146758,0.16837302
268,0.09184963,0.18345405,0.10862049
269,0.0917528,0.18142283,0.14217266
270,0.08993998,0.1750297,0.12695935
271,0.08993194,0.17679422,0.17256056
272,0.08943531,0.176275575,0.14461422
273,0.08911291,0.17656948,0.26567265
274,0.088965646,0.17484922,0.113847636
275,0.0886964,0.17403243,0.14208765
276,0.08825421,0.17429347,0.1627614
277,0.087771855,0.17471335,0.12863274
278,0.08715482,0.17224332,0.11983639
