epoch,n_loss,i_loss,mean_values
1,0.30139905,0.5407326,0.99006635
2,0.2348797,0.43380505,1.5312158
3,0.21682478,0.4005893,0.2665464
4,0.20612589,0.38997987,0.49850106
5,0.20014608,0.37635982,0.28961977
6,0.1947309,0.36958167,0.25477934
7,0.19292483,0.3668724,0.02388516
8,0.1914774,0.36088482,0.005414933
9,0.189555,0.35818586,0.0685668
10,0.18661292,0.360377,0.1555563
11,0.18550982,0.35510746,0.094335005
12,0.18415818,0.35167316,0.11994235
13,0.18386716,0.35483423,0.21077962
14,0.18358746,0.3495405,0.058380008
15,0.18010445,0.34825498,0.20183769
16,0.18011236,0.35377693,0.026239425
17,0.18028198,0.34540114,0.17809181
18,0.18007879,0.34553188,0.18562603
19,0.17952426,0.34882778,0.12261746
20,0.17830068,0.34713167,0.1981067
21,0.17877463,0.34452116,0.1246148
22,0.17774475,0.34373987,0.1133606
23,0.1775141,0.34352887,0.15294185
24,0.17611599,0.34298268,0.12947626
25,0.17575954,0.3438288,0.14286964
26,0.17682622,0.3417224,0.19675747
27,0.17439424,0.34205154,0.20909071
28,0.17522569,0.34468818,0.20994763
29,0.17468248,0.3399974,0.14120069
30,0.17528786,0.3453102,0.10821009
31,0.17519073,0.3389258,0.23134474
32,0.17508131,0.3442487,0.17396517
